timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663498760026,3035,Post Books,200,OK,Stress_test 1-8,text,true,,403,363,22,22,https://project-three-application-type.azurewebsites.net/api/Books,3035,0,2461
1663498763061,731,Delete Books,200,OK,Stress_test 1-8,text,true,,5965,194,22,22,https://project-three-application-type.azurewebsites.net/api/Books/9,724,0,0
1663498763792,1021,Get Books by ID,200,OK,Stress_test 1-8,text,true,,4991,194,22,22,https://project-three-application-type.azurewebsites.net/api/Books/9,1020,0,0
1663498762467,3142,Post Books,200,OK,Stress_test 1-9,text,true,,403,363,22,22,https://project-three-application-type.azurewebsites.net/api/Books,3142,0,2025
1663498764813,959,Put Books,200,OK,Stress_test 1-8,text,true,,403,364,22,22,https://project-three-application-type.azurewebsites.net/api/Books/9,959,0,0
1663498765609,939,Delete Books,200,OK,Stress_test 1-9,text,true,,5458,194,21,21,https://project-three-application-type.azurewebsites.net/api/Books/5,934,0,0
1663498766548,705,Get Books by ID,200,OK,Stress_test 1-9,text,true,,5909,194,21,21,https://project-three-application-type.azurewebsites.net/api/Books/5,704,0,0
1663498713970,53379,Get books,200,OK,Stress_test 1-12,text,true,,920985,192,21,21,https://project-three-application-type.azurewebsites.net/api/Books,775,0,0
1663498701125,67036,Get books,200,OK,Stress_test 1-7,text,true,,919333,192,21,21,https://project-three-application-type.azurewebsites.net/api/Books,577,0,0
1663498767253,912,Put Books,200,OK,Stress_test 1-9,text,true,,403,364,21,21,https://project-three-application-type.azurewebsites.net/api/Books/5,912,0,0
1663498715361,52902,Get books,200,OK,Stress_test 1-13,text,true,,916493,192,20,20,https://project-three-application-type.azurewebsites.net/api/Books,887,0,0
1663498767350,2653,Post Books,200,OK,Stress_test 1-12,text,true,,403,363,20,20,https://project-three-application-type.azurewebsites.net/api/Books,2652,0,1792
1663498770004,806,Delete Books,200,OK,Stress_test 1-12,text,true,,5648,194,20,20,https://project-three-application-type.azurewebsites.net/api/Books/3,804,0,0
