timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666786849242,851,Get Users,200,OK,stress 1-11,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,851,0,646
1666786850093,205,Delete User,200,OK,stress 1-11,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,205,0,0
1666786850298,204,Get User by ID,200,OK,stress 1-11,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,204,0,0
1666786851243,794,Get Users,200,OK,stress 1-12,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,794,0,589
1666786852037,204,Delete User,200,OK,stress 1-12,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,204,0,0
1666786852242,204,Get User by ID,200,OK,stress 1-12,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,204,0,0
1666786853241,790,Get Users,200,OK,stress 1-13,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,790,0,647
1666786854031,130,Delete User,200,OK,stress 1-13,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,130,0,0
1666786854162,126,Get User by ID,200,OK,stress 1-13,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,126,0,0
1666786855245,1102,Get Users,200,OK,stress 1-14,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,1102,0,870
1666786856347,192,Delete User,200,OK,stress 1-14,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,192,0,0
1666786856540,204,Get User by ID,200,OK,stress 1-14,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/8,204,0,0
1666786857244,3434,Get Users,200,OK,stress 1-15,text,true,,784,152,2,2,https://myproject3-appservice.azurewebsites.net/api/Users,3434,0,2784
1666786860679,261,Delete User,200,OK,stress 1-15,text,true,,313,155,2,2,https://myproject3-appservice.azurewebsites.net/api/Users/10,261,0,0
1666786860940,157,Get User by ID,200,OK,stress 1-15,text,true,,313,155,2,2,https://myproject3-appservice.azurewebsites.net/api/Users/10,157,0,0
1666786859241,1992,Get Users,200,OK,stress 1-16,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,1992,0,1856
1666786861234,134,Delete User,200,OK,stress 1-16,text,true,,310,154,2,2,https://myproject3-appservice.azurewebsites.net/api/Users/2,134,0,0
1666786861368,133,Get User by ID,200,OK,stress 1-16,text,true,,310,154,2,2,https://myproject3-appservice.azurewebsites.net/api/Users/2,133,0,0
1666786861245,618,Get Users,200,OK,stress 1-17,text,true,,784,152,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,618,0,414
1666786861863,136,Delete User,200,OK,stress 1-17,text,true,,310,154,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,136,0,0
